filename,measurementHeight,stemDiameter,easting,northing,utmZone,decimalLatitude,decimalLongitude,stemAzimuth,stemDistance,measurementHeight_inches,stemDiameter_inches,stemDistance_inches,stemAzimuth_rad,X,Y
2015-08,130.0,11.9,321901.27,4096908.88,11N,37.001477,-119.001573,76.3,8.4,51.18113,4.685041900000001,330.70884,1.3316862192716734,8.161012607980227,1.9894404269511976
2015-08,130.0,89.5,321901.27,4096908.88,11N,37.001477,-119.001573,112.4,9.7,51.18113,35.2362395,381.88997,1.9617500792416265,8.968096526039437,-3.6963826505976587
2015-08,130.0,39.6,321901.27,4096908.88,11N,37.001477,-119.001573,356.1,3.6,51.18113,15.5905596,141.73236,6.215117466351808,-0.2448550463948918,3.591663403808179
2015-08,130.0,48.7,321901.27,4096908.88,11N,37.001477,-119.001573,87.2,1.1,51.18113,19.173238700000002,43.30711,1.5219271077390555,1.0986867510755776,0.05373474677517449
2015-08,130.0,14.5,321901.27,4096908.88,11N,37.001477,-119.001573,129.3,10.9,51.18113,5.7086645,429.13409,2.2567107228286685,8.434858286018915,-6.903851511640299
2015-08,130.0,78.0,321901.27,4096908.88,11N,37.001477,-119.001573,136.1,7.8,51.18113,30.708678000000003,307.08678,2.3753931119642826,5.408534260551341,-5.6202986711065765
2015-09,130.0,18.4,321662.19,4096911.36,11N,37.001454,-119.004259,102.7,7.7,51.18113,7.2440983999999995,303.14977,1.7924531417981764,7.511615988383096,-1.6928157735168483
2015-09,130.0,23.9,321662.19,4096911.36,11N,37.001454,-119.004259,168.6,5.3,51.18113,9.4094539,208.66153,2.9426251188624395,1.0475839040093695,-5.195437225495125
2015-09,130.0,12.1,321662.19,4096911.36,11N,37.001454,-119.004259,101.2,7.1,51.18113,4.7637821,279.52771,1.7662732030182615,6.96478160297926,-1.379063893661801
2015-09,130.0,35.6,321662.19,4096911.36,11N,37.001454,-119.004259,172.4,8.6,51.18113,14.015755600000002,338.58286,3.0089476304382243,1.1374049562112518,-8.52445364616326
2015-09,130.0,10.8,321662.19,4096911.36,11N,37.001454,-119.004259,178.1,10.0,51.18113,4.2519708000000005,393.701,3.1084313978019007,0.33155178388526557,-9.994502159417571
2015-09,130.0,34.5,321662.19,4096911.36,11N,37.001454,-119.004259,54.6,4.8,51.18113,13.582684500000001,188.97648,0.9529497715889039,3.91261341949706,2.7805496272448584
2015-09,130.0,26.3,321662.19,4096911.36,11N,37.001454,-119.004259,278.8,4.6,51.18113,10.354336300000002,181.10245999999998,4.865977954560191,-4.545850554654143,0.7037348469065752
2015-09,130.0,121.1,321662.19,4096911.36,11N,37.001454,-119.004259,274.6,15.9,51.18113,47.6771911,625.98459,4.792674125976429,-15.84878416745433,1.2751628968288593
2015-09,130.0,98.4,321662.19,4096911.36,11N,37.001454,-119.004259,280.0,19.8,51.18113,38.740178400000005,779.5279800000001,4.886921905584122,-19.49919350964172,3.4382339178052135
2015-09,130.0,28.8,321662.19,4096911.36,11N,37.001454,-119.004259,82.0,0.8,51.18113,11.3385888,31.496080000000003,1.4311699866353502,0.7922144549932564,0.11133848076805238
2015-09,130.0,58.0,321662.19,4096911.36,11N,37.001454,-119.004259,272.3,14.7,51.18113,22.834658,578.74047,4.752531553180559,-14.688157608182355,0.5899373502286277
2015-09,130.0,65.5,321662.19,4096911.36,11N,37.001454,-119.004259,276.7,14.8,51.18113,25.7874155,582.6774800000001,4.82932604026831,-14.698925613169594,1.7267269090701258
2015-09,130.0,34.1,321662.19,4096911.36,11N,37.001454,-119.004259,296.8,15.9,51.18113,13.425204100000002,625.98459,5.18013721991917,-14.192114513388795,7.168952896961949
2015-09,130.0,15.1,321662.19,4096911.36,11N,37.001454,-119.004259,284.7,13.1,51.18113,5.9448851000000005,515.74831,4.968952380427856,-12.671207561363987,3.324229074060952
2015-09,130.0,38.0,321662.19,4096911.36,11N,37.001454,-119.004259,296.7,17.7,51.18113,14.960638000000001,696.85077,5.178391890667176,-15.812673573402723,7.952946275501372
